Diagnosis,count
tooth ache,1261
waist pain,1257
generalized weakness,1256
dysmenorrhea,1239
pain in leg,1204
pain in lower limb,1197
wound,1190
generalized body ache,1188
hairfall,1181
no h,1156
pain in b,1148
polyarthralgia,1110
loose motions,1106
dehydration,1083
menorrhagia,1077
spondylosis,1072
hair fall,1068
lower back arthralgia,1063
eye problems,1058
lower backache,1033
fatigue,1031
dysmenorrhoea,1025
cough.,1021
head ache,1018
afi,1017
tinea,1001
gen weakness,997
burning micturition,979
hyperacidity,972
dm,969
tinea corporis,963
none,956
diarrhea,950
ankle pain,947
knee,929
arti,928
l knee,920
stomach pain,913
fever weakness,904
pain in legs,894
diabetes mellitus,894
sciatica,893
chronic diseases,887
backache.,869
lower limb pain,851
dyspepsia,840
sob,828
seasonal fever,825
l leg pain,820
numbness,818
ringworm infection,813
m,810
rash,796
eczema,792
foot pain,790
acute gastritis,778
productive cough,773
fever weakness cough,772
hypothyroidism,767
fever x3d,767
knee arthralgia,766
pain in knee,756
cervical spondylosis,751
acidity.,750
common cold weakness,746
knee pain b,744
oa,740
oligomenorrhoea,736
nutritional def,735
pain in hand,725
melasma,724
t2dm,722
pruritis,720
pain leg,717
tinea cruris,715
1 urti,710
viral infection,705
knee pain',704
throat pain,700
refractive error,696
eye discharge,694
right shoulder pain,679
legpain,677
lba [ weakness ],669
weekness,667
dermatophytosis,665
worm infestation,664
right knee pain,662
otitis media,662
obesity,661
oral ulcer,660
upper respiratory tract infection c weakness,655
l leg,652
oa knee,648
tooth pain,641
left knee pain,637
itching over body,623
bodyache weakness,610
itching all over body,609
pain shoulder,605
white discharge,602
myalgia b,601
o fever,599
cough cold since 2days,592
body pain',582
acute febrile illness,581
runny nose,578
eye redness,577
weakness since 8days,571
leg,569
tingling sensation in legs,564
epigastric pain,562
sinusitis,561
xeroderma,559
arthalgia,558
coughing,558
knee ache,557
fever cold cough,554
hand,554
pid,553
knee-pain,553
body pain weakness,544
eye itching,543
myalgia [ weakness ],542
haemorrhoids,538
joints pain,538
lowbackache,537
leg cramps,534
generalized body weakness,526
bodypain weakness,525
worms,521
elbow pain,519
loose stools,517
left shoulder pain,517
arthralgia knee,515
musculoskeletal pain,513
lower-back pain,512
generalized body pain,505
asthma,502
gastritis weakness,501
headache.,500
arthralgia b,496
pain in knees,495
diabetes,492
mild fever.,488
loose stool,488
flu like symptoms-cough,487
tingling sensation in limbs,484
acute cough,482
palpitations,480
pain in shoulder,479
osteoporosis,478
l hand,478
ibs,472
knee pains,471
wet cough,470
body pain and. weakness,465
left leg pain,464
neuropathy,458
right leg pain,456
leuchorrhea,454
1 weakness,453
itchiness,450
sputum,449
lower limb arthralgia,447
anxiety,444
gen.weakness,441
hypovitaminosis,438
infected scabies,437
dental caries,435
irregular menstrual cycle,433
urinary tract infection,431
frontal,430
vomitting,429
legs,429
wrist pain,428
ring worm infection,426
contact dermatitis,425
leg.,424
deworming,422
rashes,421
upper respiratory tract infection c weakness c anorexia,421
gernalised weakness,420
pain in eye,420
o dm,418
acute pharyngitis,418
back pain weakness,417
body pain.,415
expectoration,412
pruritus,410
boils,410
earache,407
fever cold,406
bodyache wekaness hyperacidity,406
generalised bodyache,404
off,403
knee pain [ weakness ],402
oligomenorrhea,401
bacterial vaginosis,401
cough cold fever,397
abd pain,397
pimples,394
mouth ulcers,393
urti since two days,393
acidity since 4 days,392
t.corporis,391
arthritis - b,391
mild cough,389
dyspnea,387
lumbar spondylosis,386
arthropathy,385
cough weakness,384
age,381
eye infection,380
musculoskeletal pain in back,379
pain knee,377
gastric ulcer,376
typhoid,376
fatty liver,376
gastroreflux,375
malnutrition,374
cough fever,374
generalized,373
headache for evaluation,365
itching in body,364
l knee.,364
trauma,363
polyarthritis,360
discharge,360
lower abdominal pain,359
cold since 2 days,358
tenia corporis,357
generalised myalgia,355
irregular menses,355
leg pain',354
general weakness,354
epigastritis,352
low appetite,350
breathing difficulty,349
skin infection all over body,348
oa-knee,346
allergic dermatitis,344
burning micturation,344
eye irritation,343
sorethroat,341
cervical pain,341
renal stone,340
dermatities,338
headace,336
decrease appetite.,335
gastric,335
insomnia,333
polymenorrhoea,329
hip pain,325
oral ulcers,324
gastritis associated,323
dry skin,323
knee arthropathy,322
athralgia,318
headache under evaluation,318
itching +,317
weakness pain body,316
bloating,315
acute gastroenteritis,315
right hand pain,311
t.cruris,309
spondylitis,309
ear ache,308
boil,308
generalized myalgia,307
diminished vision,307
rt shoulder pain,307
urti since 5 days,306
acute sinusitis,306
chronic gastritis,305
pain in ll,304
tension headache,304
rt knee pain,303
copd,301
tiredness,297
headach,293
h--normal,291
gastralgia,290
knee pain weakness,289
no trauma,287
pain eye,287
raised bp,286
headche,286
headache since 2 days,285
vaginitis,283
chest pain ( occasional),282
itching over the whole body.,282
blurring of vision,281
discharge from eye,279
seasonal flu,278
cold since 3 days,278
cracked heels,276
blurred vision,275
generalised bodypain,275
injury,274
sprain,274
irregular menstruation,272
ascariasis,271
asthenia,270
pain abd,270
both knee pain,270
polymenorrhea,267
chronic cough,266
amenorrhea,264
redness,264
conjuctivitis,263
gastritis under evaluation,262
pain in all over body,261
tingling sensation legs,260
shtn,258
t. corporis,258
leg pain weakness,257
neuropathic pain,256
dub,255
gingivitis,253
epiphora,253
palpitation,251
skin disease,251
dysuria,250
tonsillitis,250
bilateral knee joint pain,249
weakness+,248
stomachache,248
body itching,248
plantar fasciitis,247
tenia inf,247
hand-leg pain,247
taeniasis,246
l leg.,246
lack of appetite,246
abdominal ache,245
1 knee pain,244
f,244
urticaria over the body,243
upper respiratory tract (ent) symptoms,243
urinary symptoms,241
left hand pain,240
cold cough fever,240
weaknesss,238
generalised malaise,238
body swelling,237
headache+,237
tingling sensation in leg,236
sneezing,235
wekaness,234
knees,233
pimple,233
worm,233
tingling sensation in hand,232
bilateral leg pain,231
tinnitus,230
lethargy,229
leg pains,228
leukorrhoea,227
vitiligo,226
cough n cold,223
decreased vision,222
x,221
ptyriasis versicolor,219
itchy skin,219
lower back pain+,218
leg pain [ weakness ],218
polyarthalgia,218
low vision,218
leg swelling,218
non productive cough,217
mycosis,216
pain weakness,216
knee pain for evaluation,213
atopic dermatitis,212
cough since 2 days,210
gen body ache,210
fungal infections,209
cracked heel,208
hair loss,208
pcod,207
irregular periods,207
plantar fascitis,207
hand's,207
scabie,206
acne vulgaris,205
cataract,205
weakness anorexia,204
hypertension.,204
weakness gastritis,203
utricaria,203
diminished visual acquity,203
dyspnoea,202
pain in joints,202
tingling sensation of legs,201
joint pains,201
cough under evaluation,201
shoulder,199
mumps,198
cough dry,197
bodyache+,197
htn on rx,197
pain hand,197
arm pain,197
heartburn,196
l),196
lowbackpain,195
headcahe,195
ringworm.,195
leucorrohea,195
generalised body ache,195
cervical disc disorder,194
iching,194
leg pain b,194
loa,194
c,193
epistaxis,193
myopia,192
ear infection,192
itching in eye,192
pain epigastrium,191
loss of apetite,191
leg ache,190
thyroid,190
dysentry,189
body pain since 5 days,188
pain in lowerlimb,188
lactating mother,188
pain in ear,188
backpain weakness,187
dry itching,186
allergic cough,186
legs pain',186
psoriasis,186
2 weakness,184
1,184
e,184
typhoid fever,183
bronchitis,183
urti since three days,183
mild fever,183
watery eye,182
neuralgia,182
hypertension for evaluation,182
pica,181
hypermetropia,180
renal calculi,180
feverish feeling,180
pain in abdomen since 2 days,180
cough since 4 days,179
ear itching,179
weakness headache,179
pain in neck,179
pain in epigastrium,178
no complaints,178
gastrities,178
fungal skin infection,177
weakness body pain,177
abdomen ache,176
oad,176
generalized joint pain,175
low b.p.,174
wb pain,174
cough cold weakness,174
l heel pain,174
fever cough cold since 5 days,174
hyperpigmentation,174
varicose veins,174
t,174
heat rash,173
hypertension on rx,173
fever since 3days,173
hearing loss,173
watery eyes,173
edema,173
fever cough cold since 3 days,172
body pain since 4 days,172
hydrocele,171
cough since 5 days,170
on medication,170
known dm on treatment,170
irritable bowel syndrome,170
cold cough since 2 days,169
no discharge,169
rt leg pain,169
back myalgia,168
itching in eyes,168
wound infection,168
pain in the eye,167
csom,167
prutitis,166
skin rash,165
lba - generalised weakness,164
low back,164
teeth pain,164
cold since 4 days,163
diabetes mellitus on rx,163
low blood pressure documented,163
cough ( non productive),162
tingling sensation in hands,162
cough since 3 days,162
oa b,162
multiple joint pain,162
nasopharyngitis,162
both knee joint pain,161
skin rashes,161
fuo,161
primary headache,161
varicose vein,160
knee pain+,160
renal stones,160
legs pain,159
dry eye,158
ihd,158
allergic rashes,158
u,158
body pain - weakness,158
amenorrhoea,158
difficulty in vision,158
paresthesia ll,158
bleeding,158
viral illness,157
o injury,156
headache (,156
tc,155
infertility,155
cough headache,155
o fall,155
eye flu,154
acute.ge,153
blurring of vision),153
alopecia,153
cad,152
pain in the extremities,152
feet,152
msp,152
oa of knees,151
frozen shoulder,151
bad appetite,150
watering from eyes,150
skin problem since 2months,149
knee pain (b,148
weakness cough,148
generealised body pain,148
breastfeeding+,147
aphthous ulcer,147
myalgia weakness,146
gastric problem,146
mild sprain,146
weakness under evaluation,146
thyroid disease,145
onychomycosis,145
dust allergy,145
full body pain,145
post partum weakness,144
body aches,144
hands,144
bleeding piles,143
pain body weakness,143
neck,143
tinea versicolor,142
a,142
scabies.,141
decreased appetite,140
gum infection,140
toothpain,140
pv-discharge,140
cervical spondylitis,140
irregular period,139
weakenss,138
hand numbness,138
abd. pain,138
skin fungal infection,138
p2l2,138
dm t2,138
high blood pressure documented,138
muscle strain,137
dm on medication,137
htn on treatment,137
dry eyes,136
low backache under evaluation,136
seborrheic dermatitis,135
wound on leg,135
rhinorrhoea,134
wk,134
febrile illness,134
headache [ visual acuity ],134
allergic airway disease,133
cough - since 3 days,133
headache wekaness hyperacidity,133
1 headache,133
fever under evaluation,133
worms infestation,132
pain in limbs,132
spasm,132
htn on medication,132
headache gastritis,131
itching body,131
leg injury,131
2 gastritis,131
paresthesia,131
upper respiratory infection,130
fever body pain,130
rt hand pain,130
generalised bodyache cause,129
gastrtis,129
p,129
lipoma,129
no rashes,129
otalgia,129
generalized bodyache,128
right arm pain,128
1 gastritis,128
mother seeking advice for weight gain,128
feet pain,128
watering eyes,127
urti since a week,127
bleeding gums,126
watering of eyes,126
pain abdomen for evaluation,126
dorsalgia,125
tonsilitis,125
cold fever,124
burning sensation,124
body,123
localised itching,123
weight gain,123
urti since a day,123
allergic conjunctivitis,123
generalised itching,123
fever since 5 days,122
heart burn,122
no dyspnea,122
hernia,122
eyepain,121
pain lower abdomen,121
impetigo,120
diabetic neuropathy,120
lbaweakness,120
itching on face,120
fever since 2 days,120
abdominal pain under evaluation,119
fever on,119
tinea capitis,119
tinea pedis,119
dm2,119
handpain,118
poor glycemic control,118
regular,118
eye watering,118
ra,118
pain lower limb,118
sputum.,118
knee arthritis,117
white vaginal discharge.,117
pain in eyes,117
tenia cruris,117
informant-mother,117
high blood pressure,117
giddiness+,116
bilateral knee oa,116
hepatomegaly,116
low grade fever,116
pain in extremities,115
vitamin d deficiency,115
hypochondriac,115
weakness (dehydration),115
shoulder arthralgia,115
amoebiosis,115
dysmennorhea,115
left ear pain,115
itching whole body,115
ear problem,114
fever cough cold since 2 days,114
cough+,114
right ear pain,113
both leg pain,113
skin pruritis,113
pain in chest,113
tinea infection,112
knees joint pain,112
menopausal calcium deficiency,112
breathing problem,112
cold n cough,111
lt knee pain,111
2 headache,111
lactating,111
pain in both legs,110
folliculitis,110
giddiness for evaluation,110
knee  pain,109
dyspnea on exertion,109
dm2 on rx,109
prickly heat,109
pt is hypertensive but did not started any medication,108
pain in foot,108
acute pyrexia,108
cough- mild,108
gastrictis,108
weakness bodyache,108
weaknesses,107
leucorrheoa,107
skin lesion,107
weakness c anorexia,107
tingling legs,107
neckpain,107
cold since 5 days,107
crack heel,107
apthous ulcer,105
l shoulder pain,105
right elbow pain,105
chest pain under evaluation,105
running nose,105
leg pain - weakness,104
vaginal itching,104
musculoskeletal pain in knees,104
breathlessness on exertion,104
gout,104
1 scabies,104
asom,104
gaseous discomfort,103
weaknes since 1month,103
upper limb pain,103
ankle sprain,103
ringworm fuc,103
leucorrhoea c weakness c backache,103
hemorrhoid,103
raised bp not on rx,103
amoebiasis,103
l eye blurred vision.,102
weakness since 4 days,102
cholelithiasis,102
low back pain for evaluation,102
anorexia under evaluation,102
vision problem,101
pregnant,101
miliaria,100
cough x5d,100
dmt2,100
tingling sensation in arms,100
high b.p.,100
filariasis,100
wekness,100
watery discharge,99
fever of unknown origin,99
eructations,99
fever since 3 days,99
cough cold headache,98
pregnancy,98
dysentery,98
chest pain for evaluation,98
eructation,98
nutritional advice given,98
left arm pain,98
fever headache,98
relapsing fever,98
fever for evaluation,98
pain in leg since 4 days,98
fever cough cold since 4 days,97
bodyache cough,97
anc,97
bilateral knee pain,96
dry cough since two days,96
neck swelling,96
carbuncle,96
1 back pain,96
cough ( productive),96
hypertensive emergency,95
lower abdomen pain,95
fever since 2days,95
4 days,95
pt is on regular basis medicine,95
ida,95
acute febrile illness cause,95
diabetes mellitus on medications,95
reduced vision,95
t2dm on rx,94
tingling in legs,94
uterine prolapse,94
easy fatigue,94
paronychia,94
eye pain',94
heel crack,94
tingling sensation in b,94
sob on exertion,94
tingling numbness,94
gastritis leading to pain abdomen,93
fever+,93
low backa che,93
weakness pain,93
normal bleeding,93
nutritional counselling,93
breathlessness on exertion.,93
fever cough cold since 7 days,93
dry cough.,93
itching ( no rashes),92
skin infection (cannot send photos),92
fever.,92
d3 deficiency,92
known dm,92
swelling over body,92
wound in leg,91
urinary incontinence,91
discharge from eyes,91
headache cough,91
urti since four days,91
bronchial asthma,91
lt shoulder pain,91
apd,91
h--30,90
chills,90
incidentally detected,90
runny nose under evaluation,90
gen body weakness,90
seborrhoea capitis,90
cough since two days,90
gas weakness,90
htn(on meds),90
o trauma),89
weakness since 5 days,89
numbness of limbs,89
1 ringworm,89
urti since 3 days,88
itching in hand,88
l lower limb pain,88
head injury,88
postpartum weakness,88
stomach ache,88
pain in both leg,88
itching in back (fungal infection),88
bodyache cause,87
weakness since 1 month,87
backache weakness,87
itching in groin area.,87
skin allergic reaction,87
shoulder pain',87
cough  cold,87
rheumatoid arthritis,87
vomitings,87
tingling sensations,87
cough since 3days,87
knee painweakness,86
follow up,86
weakness +,86
earpain,86
leucorrhia,86
pain joints,86
phlegm,85
l knee joints,85
urti since ten days,85
not present during visit,85
cough x2d,85
p3l3,84
known htn on treatment,84
flu,83
watering,83
htn on regular medications,83
lack of apetite,83
headache since 4 days,83
thigh pain,83
heat rashes,83
anasarca,83
pain b,83
lowerlimb pain,82
worms in stool,82
throat irritation,82
flatulence+,82
bp low,82
h - 3,82
red eye,81
back pain and. gastritis,81
pain in left leg,81
redness in eye,81
polyuria,81
type 2 dm,80
taenia,80
diabetic mellitus,80
itching in ear,80
productive,80
pain in right hand,80
cough body pain,80
pityriasis versicolor,80
htn ( irregular medication),79
kidney stone,79
pain abdomen under evaluation,79
back pain under evaluation,79
insect bite,79
gastrits,79
known htn,79
fever since 4 days,78
pain  body,78
diminished sense of vision,78
back pain - weakness,78
pain in right leg,78
gastritis+ myalgia,78
hypertensive,78
urti on medications,78
on,78
weakness - since few month,77
eye strain,77
cough since 1 month,77
costochondritis,77
radiculopathy,77
thyroid disorder,77
d,77
redness of eye,77
right heel pain,77
musculoskeletal pain in legs,76
on rx,76
abdominal pain.,76
pain in hands,76
leucorrhea+,76
pain in ankle,75
pedal edema,75
left elbow pain,75
left ear discharge,75
neck sprain,75
pain both lower limb,75
jaundice,75
dental pain,74
dyslipidemia,74
cough - since 1 week,74
1 low backache,74
24,74
cough cold body pain,74
1 leucorrhoea,74
pain in elbow,74
underweight,73
nasal congestion,73
pain ear,73
tinea corporise,73
cough x4d,73
pivd,73
fungal infection of skin,73
lt leg pain,73
dl,73
irritant dermatitis,72
chronic sinusitis,72
joints pain',72
htn not on rx,72
pain in lower abdomen,72
cough since 4days,72
urticaria over body,72
abdominal discomfort,71
headachevisual acuity,71
swelling of body,71
acute nasopharyngitis,71
tiredness for evaluation,71
gastritis weaknes,71
pain  back,70
weaknes since 2 days,70
arthropathy of knee,70
backapin,70
wheezing,70
pain ankle,70
chronic myalgia -back ache,70
s,70
cough since 1 week,70
cough( non productive),70
dental carries,70
malnourished,70
ghabrahat,70
yellow sputum,69
pain in abdomen cause,69
hand leg pain,69
itching in leg,69
nccp,69
headache since 5 days,69
resp distress,69
fever f,69
lumbago c weakness,69
post traumatic pain,69
viral prodrome,69
hypertension- on medication,69
swelling in body,68
constipation.,68
cramps,68
bloating in stomach,68
frequent malaise,68
pain abdomen+,68
crack heels,68
tachycardia,67
3,67
foot,67
cold weakness,67
weakness hypotension,67
decreased hearing,67
chronic back pain,67
colic,66
muscle cramps,66
knee pain urti,66
acne on face,66
l swelling,66
weight loss,66
body pain cough,66
left knee oa,66
constipation+,66
upper back pain,66
blurry vision,66
pcos,66
pain in the legs,66
loosemotion,65
pain foot,65
burning,65
knees joint pain',65
visual acuity defect,65
taking medication from outside for hypertension,65
toothache.,65
urti since 4 days,65
tingling in leg,65
exertional breathlessness,65
wounds,65
pain legs,65
bodyache since 5days,65
stomache,65
acidity weakness,65
tingling sensation over legs,65
chest,65
wheezing on rx,65
1 fungal infection,65
pv white discharge,65
tingling sensation in body,64
weaness,64
hypertension on medications,64
generalised body itching,64
no vomiting,64
p.versicolor,64
l calf pain,64
pyorrhoea,64
vaginal candidiasis,64
fracture,64
feverish,64
tingling sensation under evaluation,64
hyperthyroidism,64
finger pain,63
tooth decay,63
abdominal bloating,63
v discharge,63
weakness back pain',63
itching on body,63
itching on thigh,63
sneezing - since 3 days,63
l knee joint,63
osteoarthritis knee,63
cough - since 2 days,63
hypotention,63
leucorhoea,63
fever x 3d,63
pneumonia,63
cervical radiculopathy,63
dimness of vision,63
worm infection,63
pain in rt hand,62
o fall),62
2,62
headache ( visual acuity ),62
shoulder pain for evaluation,62
abdomen,62
cough  dry,62
dm on rx,62
diziness,62
difficulty in breathing,62
back pain knee pain,62
low blood pressure,62
chestpain,62
pain in left hand,62
previous injury,62
cough gastritis,61
essential nutrient deficiency,61
fever cough cold weakness,61
h---normal,61
diabetic,61
cold.,61
1 fever,61
pain  abdomen,61
weakness leg pain,61
cough since 15days,61
fever -  cause,60
stye,60
its consequences,60
pain in left shoulder,60
body pain' weakness,60
cough nd headache,60
ll pain,60
pain in right shoulder,60
scabies+,60
gas problem,60
leg cramp,60
weakness  pain body,60
urti since 2 days,59
breathlesness,59
cough bodyache,59
left eye pain,59
leg numbness,59
dry cough since 5 days,59
urti since 1week,59
shoulder ache,59
skin icthing,59
right ear discharge,59
cough x10d,59
viral flu,59
hemoptysis,59
cough since 5days,59
urti since 3days,58
l ll,58
back  pain,58
swelling in leg,58
aub,58
v,58
painbody,58
back pain since 4 days,58
pain in heels,58
fibroid uterus,58
o htn on t,58
flank pain,58
ankle spurr,58
arthralgia calcium deficiency,58
pelvic pain,58
leg  pain,57
gatritis,57
weakness back pain,57
numbness of hand,57
abodmen pain,57
knee apin,57
no chest pain,57
cough +,57
hypotension weakness,57
infection,57
otitis externa,57
g. weakness,57
hand injury,57
burning sensation in feet,57
pain in upper back,57
body  pain,57
as per the patient,57
fall,57
constipatation,57
dermatophytoses,57
wax impaction,57
no,57
pain both knee joint,57
abdominal pain for evaluation,56
mild leucorrhoea,56
skin dis,56
allergic rhintis,56
respiratory tract infection,56
knee injury,56
headaches,56
eye-pain,56
leucorrhea since 1month,56
cough n cold since 4 days,56
urti since 4days,56
o trauma,56
leucorrhoea-mild,56
left heel pain,56
itching over the back.,56
weakness - since 1 month,56
backpain urti,56
epilepsy,56
coughdry,56
anal fissure,56
tinea under evaluation,56
flu like symptoms-rhinitis,56
low back ache radiating to legs,56
tuberculosis,56
icthing,56
weakness body pain',56
loss of sleep,55
dm ( irregular medication),55
tinaea,55
acidity since 5 days,55
tingling sensation leg,55
cervical disc degeneration,55
cough since one week,55
itching of skin,55
itching over face,55
bp lower side,55
muscle spasm,55
urticaria under evaluation,55
mild leucorrhea,55
cold cough weakness,54
low  bp,54
cracked feet,54
weakness  headache,54
rhinitis+,54
rta,54
chest discomfort,54
back pain since 5 days,54
leg pain+,54
htn on irregular medications,54
tooth sensitivity,54
dm on treatment,54
weakness - since 1 year,54
tb,54
burn,54
migraine headache,54
xerotic ecxema,54
resolving urti,53
addictions++,53
acne over face,53
irregular mensturation,53
pain in cervical region,53
stomoch pain,53
back pain - injury,53
l knee + leg pain,53
itching in body (scabies),53
cough - since 4 days,53
diabetic peripheral neuropathy,53
knee pain cough,53
ch gastritis,53
skin pigmentation,53
mild htn,53
pain in lower back,53
pityriasis alba,53
weakness gas,53
vit deficeincy,53
asthama,53
hypertension on medication,53
anorexia weakness,53
cough cold since 3 days,52
leg pain due to injury,52
left wrist pain,52
cough n cold since 3 days,52
right knee oa,52
gastritis headache,52
taenia corporis,52
numbness of hands,52
fever  cough cold,52
2 cough,52
breast pain,52
gastroentritis,52
skin problem since 2days,52
half year baby,52
opthalmological condition,52
breathlessness ( occasional),52
pain body  weakness,52
weakness bodypain,52
right wrist pain,52
headache - stress,52
l legs,52
menstrual pain,52
fever cough weakness,52
heal pain,52
itching in groin,52
1 dermatitis,51
itching on waist,51
htn (on medication),51
fatigue under evaluation,51
normal stools,51
pain neck,51
burning feet,51
gum bleeding,51
vitamin deficiencies,51
cough since 10days,51
weakness fever,51
uncontrolled dm,51
htn on meds,51
urti x 1wk,51
ringworm pvt parts,51
l hand.,51
arthritis - right knee,51
thyroiditis,51
irregular medication,51
no cough,51
for deworming,51
skin infection fungal,51
spasm under evaluation,51
bppv,51
l eye.,50
parotitis,50
weakness n anorexia,50
hypertention,50
watery discharge from eye,50
dysmennorhoea,50
shoulder joint pain,50
disc disorder,50
known case of htn,50
seizure disorder,50
gum swelling,50
sun dermatitis,50
cough - since few days,50
hairfall under evaluation,50
urti x 3d,50
diarrohea,50
blur vision,50
eyeache,50
face,50
cough since 3 day,50
rt elbow pain,50
headache cold,50
cough since 1month,49
weakess,49
burning foot syndrome,49
no swelling,49
cervical disc disease,49
leuccorrhoea,49
bp on higher side,49
headache since 1 month,49
rhintis,49
2 urti,49
bp-140,49
fever x2d,49
joint pain+,49
scabbies,49
cold cough+,49
swelling in legs,49
abnormal bleeding,49
taking medication from outside for diabetes,49
tingling in limbs+,49
chest pain.,48
weakness h,48
urticaria cause,48
under regular medication,48
allergic,48
menstrual cramps,48
post viral cough,48
cough 5 days,48
neck pain [ weakness ],48
cold since 1 day,48
ovarian cyst,48
frontal headache.,48
hyperpigmentation on face,48
irregular cycles,48
ckd,48
redness of eyes,48
cough sore throat,48
chest pain on,48
fever 3 days,48
pain multiple joints,48
headache [ migraine ],47
cold headache,47
skin infection on hand,47
low-bp,47
pt is lactating mother of one,47
abscess,47
eye irritation b,47
borderline hypertension,47
tingling in hands,47
cough since 10 days,47
gasritis,47
viral urti,47
weakness  pain back,47
skin inf,47
no fever,47
chronic constipation,47
cough since 15 days,47
muscle sprain,47
hairloss,47
skin lesions,47
dry cough since ten days,47
uncontrolled diabetes mellitus on rx,47
worms in stools,46
hypopigmentation,46
generalized body aches,46
right ankle pain,46
breast feeding mother,46
dryness of skin,46
breast lump,46
cough - since 5 days,46
mother seeking advice,46
lower backache cause,46
known hypothyroidism on treatment,46
no dizziness,46
pain in both knees,46
frequent urination,46
knee pain back pain,46
itching over the b,46
piles weakness,46
1 leg pain,46
allergy whole body,46
pyorrhea,46
cold  cough,46
scabies weakness,46
low backache - weakness,46
pain in both hands,46
body pain under evaluation,46
dm neuropathy,46
associated,45
shoulder pain [ weakness ],45
asymptomatic,45
headache (migraine),45
weakness cause,45
l eye pain,45
mild low bp,45
lowerbackache,45
gastritis n constipation,45
myalgia cough,45
renal calculus,45
reduced appetite,45
leucoria,45
pelvic inflammatory disease,45
cellulitis,45
heel pain b,45
non specific body pain,45
back pain cough,45
immediate referral to higher centre),45
irregular mense,45
urti since 5days,45
htn on medications,45
acidity +,45
generalized pain,45
allergic rhinits,44
tennis elbow,44
no pain,44
paraesthesia,44
acute dry cough,44
coryza,44
myalgia+ gastritis,44
l leg pain under evaluation,44
lower back,44
psychological symptoms,44
pain in arm,44
weakness myalgia,44
cracked foot,44
acc. hypertension,44
left ankle pain,44
gastritis and. weakness,44
hedache,44
neck pain.,44
headache associated,44
backache gastritis,44
cold cough since 3 days,43
weakness - since 1 week,43
pt not available,43
dysphagia,43
generalsied weakness,43
urti x 5d,43
backache n knee pain,43
ringworm infestation,43
hypothyroidism on medications,43
intestinal helminthiasis,43
epigastric pain.,43
itching of whole body,43
no difficulty in vision,43
urti since 2days,43
1 diarrhoea,43
malaria,43
ibd,43
lymphadenopathy,43
leukorrea,43
general body weakness,43
anorexia since 15 days,43
raised bp noted,43
htn under investigation,42
headache  weakness,42
nutritional deficiencies,42
heel fissure,42
fever  weakness,42
pain in heel,42
enteric fever,42
lowerback pain,42
shoulder-pain,42
p4l4,42
hypertension - on medication,42
hypotension myalgia,42
t2dm on treatment,42
bachache,41
cough 3 days,41
history of trauma,41
hair fall for evaluation,41
period problem,41
productive sputum,41
1 cough,41
dry  cough,41
premature greying of hair,41
alcoholic liver disease,41
miliria rubra,41
